Image_Label,EncodedPixels
0011165_34.jpg_FLOWER,
0011165_34.jpg_GRAVEL,
0011165_34.jpg_SUGAR,
0011165_35.jpg_FISH,38 102 178 102 318 102 458 102 598 102 738 102 878 102 1018 102 1158 102 1298 102 1438 102 1578 102 1718 102 1858 102 1998 102 2138 102 2278 102 2418 102 2558 102 2698 102 2838 102 2978 102 3118 102 3258 102 3398 102 3538 102 3678 102 3818 102 3958 102 4098 102 4238 102 4378 102 4518 102 4658 102 4798 102 4938 102 5078 102 5218 102 5358 102 5498 102 5638 102 5778 102 5918 102 6058 102 6198 102 6338 102 6478 102 6618 102 6758 102 6898 102 7038 102 7178 102 7318 102 7458 102 7598 102 7738 102 7878 102 8018 102 8158 102 8298 102 8438 102 8578 102 8718 102 8858 102 8998 102 9138 102 9278 102 9418 102 9558 102 9698 102 9838 102 9978 102 10118 102 10258 102 10398 102 10538 102 10678 102 10818 102 10958 102 11098 102 11238 102 11378 102 11518 102 11658 102 11798 102 11938 102 12078 102 12218 102 12358 102 12498 102 12638 102 12778 102 12918 102 13058 102 13198 102 13338 102 13478 102 13618 102 13758 102 13898 102 14038 102 14178 102 14318 102 14458 102 14598 102 14738 102 14878 102 15018 102 15158 102 15298 102 15438 102 15578 102 15718 102 15858 102 15998 102 16138 102 16278 102 16418 102 16558 102 16698 102 16838 102 16978 102 17118 102 17258 102 17398 102 17538 102 17678 102 17818 102 17958 102 18098 102 18238 102 18378 102 18518 102 18658 102 18798 102 18938 102 19078 102 19218 102 19358 102 19498 102
0011165_35.jpg_FLOWER,
0011165_35.jpg_GRAVEL,
0011165_35.jpg_SUGAR,
0011165_36.jpg_FISH,38 102 178 102 318 102 458 102 598 102 738 102 878 102 1018 102 1158 102 1298 102 1438 102 1578 102 1718 102 1858 102 1998 102 2138 102 2278 102 2418 102 2558 102 2698 102 2838 102 2978 102 3118 102 3258 102 3398 102 3538 102 3678 102 3818 102 3958 102 4098 102 4238 102 4378 102 4518 102 4658 102 4798 102 4938 102 5078 102 5218 102 5358 102 5498 102 5638 102 5778 102 5918 102 6058 102 6198 102 6338 102 6478 102 6618 102 6758 102 6898 102 7038 102 7178 102 7318 102 7458 102 7598 102 7738 102 7878 102 8018 102 8158 102 8298 102 8438 102 8578 102 8718 102 8858 102 8998 102 9138 102 9278 102 9418 102 9558 102 9698 102 9838 102 9978 102 10118 102 10258 102 10398 102 10538 102 10678 102 10818 102 10958 102 11098 102 11238 102 11378 102 11518 102 11658 102 11798 102 11938 102 12078 102 12218 102 12358 102 12498 102 12638 102 12778 102 12918 102 13058 102 13198 102 13338 102 13478 102 13618 102 13758 102 13898 102 14038 102 14178 102 14318 102 14458 102 14598 102 14738 102 14878 102 15018 102 15158 102 15298 102 15438 102 15578 102 15718 102 15858 102 15998 102 16138 102 16278 102 16418 102 16558 102 16698 102 16838 102 16978 102 17118 102 17258 102 17398 102 17538 102 17678 102 17818 102 17958 102 18098 102 18238 102 18378 102 18518 102 18658 102 18798 102 18938 102 19078 102 19218 102 19358 102 19498 102
0011165_36.jpg_FLOWER,18005 55 18145 55 18285 55 18425 55 18565 55 18705 55 18845 55 18985 55 19125 55 19265 55 19405 55 19545 55
0011165_36.jpg_GRAVEL,
0011165_36.jpg_SUGAR,
0011165_37.jpg_FISH,38 102 178 102 318 102 458 102 598 102 738 102 878 102 1018 102 1158 102 1298 102 1438 102 1578 102 1718 102 1858 102 1998 102 2138 102 2278 102 2418 102 2558 102 2698 102 2838 102 2978 102 3118 102 3258 102 3398 102 3538 102 3678 102 3818 102 3958 102 4098 102 4238 102 4378 102 4518 102 4658 102 4798 102 4938 102 5078 102 5218 102 5358 102 5498 102 5638 102 5778 102 5918 102 6058 102 6198 102 6338 102 6478 102 6618 102 6758 102 6898 102 7038 102 7178 102 7318 102 7458 102 7598 102 7738 102 7878 102 8018 102 8158 102 8298 102 8438 102 8578 102 8718 102 8858 102 8998 102 9138 102 9278 102 9418 102 9558 102 9698 102 9838 102 9978 102 10118 102 10258 102 10398 102 10538 102 10678 102 10818 102 10958 102 11098 102 11238 102 11378 102 11518 102 11658 102 11798 102 11938 102 12078 102 12218 102 12358 102 12498 102 12638 102 12778 102 12918 102 13058 102 13198 102 13338 102 13478 102 13618 102 13758 102 13898 102 14038 102 14178 102 14318 102 14458 102 14598 102 14738 102 14878 102 15018 102 15158 102 15298 102 15438 102 15578 102 15718 102 15858 102 15998 102 16138 102 16278 102 16418 102 16558 102 16698 102 16838 102 16978 102 17118 102 17258 102 17398 102 17538 102 17678 102 17818 102 17958 102 18098 102 18238 102 18378 102 18518 102 18658 102 18798 102 18938 102 19078 102 19218 102 19358 102 19498 102
0011165_37.jpg_FLOWER,85 55 225 55 365 55 505 55 645 55 785 55 925 55 1065 55 1205 55 1345 55 1485 55 1625 55 1765 55 1905 55 2045 55 2185 55 2325 55 2465 55 2605 55 2745 55 2885 55 3025 55 3165 55 3305 55 3445 55 3585 55 3725 55 3865 55 4005 55 4145 55 4285 55 4425 55 4565 55 4705 55 4845 55 4985 55 5125 55 5265 55 5405 55 5545 55 5685 55 5825 55 5965 55 6105 55 6245 55 6385 55 6525 55 6665 55 6805 55 6945 55 7085 55 7225 55 7365 55 7505 55 7645 55 7785 55 7925 55 8065 55 8205 55 8345 55 8485 55 8625 55 8765 55 8905 55 9045 55 9185 55 9325 55 9465 55 9605 55 9745 55 9885 55 10025 55 10165 55 10305 55 10445 55 10585 55 10725 55 10865 55 11005 55 11145 55 11285 55 11425 55 11565 55 11705 55 11845 55 11985 55 12125 55 12265 55 12405 55 12545 55 12685 55 12825 55 12965 55 13105 55 13245 55 13385 55 13525 55 13665 55 13805 55 13945 55 14085 55 14225 55 14365 55 14505 55 14645 55 14785 55 14925 55 15065 55 15205 55 15345 55 15485 55 15625 55 15765 55 15905 55 16045 55 16185 55 16325 55 16465 55 16554 106 16694 106 16834 106 16974 106 17114 106 17254 106 17394 106 17534 106 17674 106 17814 106 17954 106 18094 106 18234 106 18374 106 18514 106 18654 106 18794 106 18934 106 19074 106 19214 106 19354 106 19494 106
0011165_37.jpg_GRAVEL,
0011165_37.jpg_SUGAR,
0011165_38.jpg_FISH,38 102 178 102 318 102 458 102 598 102 738 102 878 102 1018 102 1158 102 1298 102 1438 102 1578 102 1718 102 1858 102 1998 102 2138 102 2278 102 2418 102 2558 102 2698 102 2838 102 2978 102 3118 102 3258 102 3398 102 3538 102 3678 102 3818 102 3958 102 4098 102 4238 102 4378 102 4518 102 4658 102 4798 102 4938 102 5078 102 5218 102 5358 102 5498 102 5638 102 5778 102 5918 102 6058 102 6198 102 6338 102 6478 102 6618 102 6758 102 6898 102 7038 102 7178 102 7318 102 7458 102 7598 102 7738 102 7878 102 8018 102 8158 102 8298 102 8438 102 8578 102 8718 102 8858 102
0011165_38.jpg_FLOWER,34 106 174 106 314 106 454 106 594 106 734 106 874 106 1014 106 1154 106 1294 106 1434 106 1574 106 1714 106 1854 106 1994 106 2134 106 2274 106 2414 106 2554 106 2694 106 2834 106 2974 106 3114 106 3254 106 3394 106 3534 106 3674 106 3814 106 3954 106 4094 106 4234 106 4374 106 4514 106 4654 106 4794 106 4934 106 5074 106 5214 106 5354 106 5494 106 5634 106 5774 106 5914 106 6054 106 6194 106 6334 106 6474 106 6614 106 6754 106 6894 106 7034 106 7174 106 7314 106 7454 106 7594 106 7734 106 7874 106 8014 106 8154 106 8294 106 8434 106 8574 106 8714 106 8854 106 8994 106 9134 106 9274 106 9414 106 9554 106 9694 106 9834 106 9974 106 10114 106 10254 106 10394 106 10534 106 10674 106 10814 106 10954 106 11094 106 11234 106 11374 106 11514 106 11654 106 11794 106 11934 106 12074 106 12214 106 12354 106 12494 106 12634 106 12774 106 12914 106 13054 106 13194 106 13334 106 13474 106 13614 106 13754 106 13894 106 14034 106 14174 106 14314 106 14454 106 14594 106 14734 106 14874 106 15014 106 15154 106 15294 106 15434 106 15574 106 15714 106 15854 106 15994 106 16134 106 16274 106 16414 106 16554 106 16694 106 16834 106 16974 106 17114 106 17254 106 17394 106 17534 106 17674 106 17814 106 17954 106 18094 106 18234 106 18374 106 18514 106 18654 106 18794 106 18934 106 19074 106 19214 106 19354 106 19494 106
0011165_38.jpg_GRAVEL,
0011165_38.jpg_SUGAR,
0011165_39.jpg_FISH,
0011165_39.jpg_FLOWER,34 106 174 106 314 106 454 106 594 106 734 106 874 106 1014 106 1154 106 1294 106 1434 106 1574 106 1714 106 1854 106 1994 106 2134 106 2274 106 2414 106 2554 106 2694 106 2834 106 2974 106 3114 106 3254 106 3394 106 3534 106 3674 106 3814 106 3954 106 4094 106 4234 106 4374 106 4514 106 4654 106 4794 106 4934 106 5074 106 5214 106 5354 106 5494 106 5634 106 5774 106 5914 106 6054 106 6194 106 6334 106 6474 106 6614 106 6754 106 6894 106 7034 106 7174 106 7314 106 7454 106 7594 106 7734 106 7874 106 8014 106 8154 106 8294 106 8434 106 8574 106 8714 106 8854 106 8994 106 9134 106 9274 106 9414 106 9554 106 9694 106 9834 106 9974 106 10114 106 10254 106 10394 106 10534 106 10674 106 10814 106 10954 106 11094 106 11234 106 11374 106 11514 106 11654 106 11794 106 11934 106 12074 106 12214 106 12354 106 12494 106 12634 106 12774 106 12914 106 13054 106 13194 106 13334 106 13474 106 13614 106 13754 106 13894 106 14034 106 14174 106 14314 106 14454 106 14594 106 14734 106 14874 106 15014 106 15154 106 15294 106 15434 106 15574 106 15714 106 15854 106 15994 106 16134 106 16274 106 16414 106 16554 106 16694 106 16834 106 16974 106 17114 106 17254 106 17394 106 17534 106 17674 106 17814 106 17954 106 18094 106 18234 106 18374 106 18514 106 18654 106 18794 106 18934 106 19074 106 19214 106 19354 106 19494 106
0011165_39.jpg_GRAVEL,
0011165_39.jpg_SUGAR,
0011165_40.jpg_FISH,
0011165_40.jpg_FLOWER,34 106 174 106 314 106 454 106 594 106 734 106 874 106 1014 106 1154 106 1294 106 1434 106 1574 106 1714 106 1854 106 1994 106 2134 106 2274 106 2414 106 2554 106 2694 106 2834 106 2974 106 3114 106 3254 106 3394 106 3534 106 3674 106 3814 106 3954 106 4094 106 4234 106 4374 106 4514 106 4654 106 4794 106 4934 106 5074 106 5214 106 5354 106 5494 106 5634 106 5774 106 5914 106 6054 106 6194 106 6334 106 6474 106 6614 106 6754 106 6894 106 7034 106 7174 106 7314 106 7454 106 7594 106 7734 106 7874 106 8014 106 8154 106 8294 106 8434 106 8574 106 8714 106 8854 106 8994 106 9134 106 9274 106 9414 106 9554 106 9694 106 9834 106 9974 106 10114 106 10254 106 10394 106 10534 106 10674 106 10814 106 10954 106 11094 106 11234 106 11374 106 11514 106 11654 106 11794 106 11934 106 12074 106 12214 106 12354 106 12494 106 12634 106 12774 106 12914 106 13054 106 13194 106 13334 106 13474 106 13614 106 13754 106 13894 106 14034 106 14174 106 14314 106 14454 106 14594 106 14734 106 14874 106 15014 106 15154 106 15294 106 15434 106 15574 106 15714 106 15854 106 15994 106 16134 106 16274 106 16414 106 16554 106 16694 106 16834 106 16974 106 17114 106 17254 106 17394 106 17534 106 17674 106 17814 106 17954 106 18094 106 18234 106 18374 106 18514 106 18654 106 18794 106 18934 106 19074 106 19214 106 19354 106 19494 106
0011165_40.jpg_GRAVEL,
0011165_40.jpg_SUGAR,
0011165_41.jpg_FISH,
0011165_41.jpg_FLOWER,34 106 174 106 314 106 454 106 594 106 734 106 874 106 1014 106 1154 106 1294 106 1434 106 1574 106 1714 106 1854 106 1994 106 2134 106 2274 106 2414 106 2554 106 2694 106 2834 106 2974 106 3114 106 3254 106 3394 106 3534 106 3674 106 3814 106 3954 106 4094 106 4234 106 4374 106 4514 106 4654 106 4794 106 4934 106 5074 106 5214 106 5354 106 5494 106 5634 106 5774 106 5914 106 6054 106 6194 106 6334 106 6474 106 6614 106 6754 106 6894 106 7034 106 7174 106 7314 106 7454 106 7594 106 7734 106 7874 106 8014 106 8154 106 8294 106 8434 106 8574 106 8714 106 8854 106 8994 106 9134 106 9274 106 9414 106 9554 106 9694 106 9834 106 9974 106 10114 106 10254 106 10394 106 10534 106 10674 106 10814 106 10954 106 11094 106 11234 106 11374 106 11514 106 11654 106 11794 106 11934 106 12074 106 12214 106 12354 106 12494 106 12634 106 12774 106 12914 106 13054 106 13194 106 13334 106 13474 106 13614 106 13754 106 13894 106 14034 106 14174 106 14314 106 14454 106 14594 106 14734 106 14874 106 15014 106 15154 106 15294 106 15434 106 15574 106 15714 106 15854 106 15994 106 16134 106 16274 106 16414 106 16554 106 16694 106 16834 106 16974 106 17114 106 17254 106 17394 106 17534 106 17674 106 17814 106 17954 106 18094 106 18234 106 18374 106 18514 106 18654 106 18794 106 18934 106 19074 106 19214 106 19354 106 19494 106
0011165_41.jpg_GRAVEL,
0011165_41.jpg_SUGAR,
0011165_42.jpg_FISH,
0011165_42.jpg_FLOWER,34 106 174 106 314 106 454 106 594 106 734 106 874 106 1014 106 1154 106 1294 106 1434 106 1574 106 1714 106 1854 106 1994 106 2134 106 2274 106 2414 106 2554 106 2694 106 2834 106 2974 106 3114 106 3254 106 3394 106 3534 106 3674 106 3814 106 3954 106 4094 106 4234 106 4374 106 4514 106 4654 106 4794 106 4934 106 5074 106 5214 106 5354 106 5494 106 5634 106 5774 106 5914 106 6054 106 6194 106 6334 106 6474 106 6614 106 6754 106 6894 106 7034 106 7174 106 7314 106 7454 106 7594 106 7734 106 7874 106 8014 106 8154 106 8294 106 8434 106 8574 106 8714 106 8854 106 8994 106 9134 106 9274 106 9414 106 9554 106 9694 106 9834 106 9974 106 10114 106 10254 106 10394 106 10534 106 10674 106 10814 106 10954 106 11094 106 11234 106 11374 106 11514 106 11654 106 11794 106 11934 106 12074 106 12214 106 12354 106 12494 106 12634 106 12774 106 12914 106 13054 106 13194 106 13334 106 13474 106 13614 106 13754 106 13945 55 14085 55 14225 55 14365 55 14505 55 14645 55 14785 55 14925 55 15065 55 15205 55 15345 55 15485 55 15625 55 15765 55 15905 55 16045 55 16185 55 16325 55 16465 55 16605 55 16745 55 16885 55 17025 55 17165 55 17305 55 17445 55 17585 55 17725 55 17865 55 18005 55 18145 55 18285 55 18425 55 18565 55 18705 55 18845 55 18985 55 19125 55 19265 55 19405 55 19545 55
0011165_42.jpg_GRAVEL,
0011165_42.jpg_SUGAR,
0011165_43.jpg_FISH,
0011165_43.jpg_FLOWER,85 55 225 55 365 55 505 55 645 55 785 55 925 55 1065 55 1205 55 1345 55 1485 55 1625 55 1765 55 1905 55 2045 55 2185 55 2325 55 2465 55 2605 55 2745 55 2885 55 3025 55 3165 55 3305 55 3445 55 3585 55 3725 55 3865 55 4005 55 4145 55 4285 55 4425 55 4565 55 4705 55 4845 55 4985 55 5125 55 5265 55 5405 55 5545 55 5685 55 5825 55 5965 55 6105 55 6245 55 6385 55 6525 55 6665 55 6805 55 6945 55 7085 55 7225 55 7365 55 7505 55 7645 55 7785 55 7925 55 8065 55 8205 55 8345 55 8485 55 8625 55 8765 55 8905 55 9045 55 9185 55 9325 55 9465 55 9605 55 9745 55 9885 55 10025 55 10165 55 10305 55 10445 55 10585 55 10725 55 10865 55 11005 55 11145 55 11285 55 11425 55 11565 55 11705 55 11845 55 11985 55 12125 55 12265 55 12405 55 12545 55 12685 55 12825 55 12965 55 13105 55 13245 55 13385 55 13525 55 13665 55 13805 55 13945 55 14085 55 14225 55 14365 55 14505 55 14645 55 14785 55 14925 55 15065 55 15205 55 15345 55 15485 55 15625 55 15765 55 15905 55 16045 55 16185 55 16325 55 16465 55 16605 55 16745 55 16885 55 17025 55 17165 55 17305 55 17445 55 17585 55 17725 55 17865 55 18005 55 18145 55 18285 55 18425 55 18565 55 18705 55 18845 55 18985 55 19125 55 19265 55 19405 55 19545 55
0011165_43.jpg_GRAVEL,
0011165_43.jpg_SUGAR,
0011165_44.jpg_FISH,
0011165_44.jpg_FLOWER,85 55 225 55 365 55 505 55 645 55 785 55 925 55 1065 55 1205 55 1345 55 1485 55 1625 55 1765 55 1905 55 2045 55 2185 55 2325 55 2465 55 2605 55 2745 55 2885 55 3025 55 3165 55 3305 55 3445 55 3585 55 3725 55 3865 55 4005 55 4145 55 4285 55 4425 55 4565 55 4705 55 4845 55 4985 55 5125 55 5265 55 5405 55 5545 55 5685 55 5825 55 5965 55 6105 55 6245 55 6385 55 6525 55 6665 55 6805 55 6945 55 7085 55 7225 55 7365 55 7505 55 7645 55 7785 55 7925 55 8065 55 8205 55 8345 55 8485 55 8625 55 8765 55 8905 55 9045 55 9185 55 9325 55 9465 55 9605 55 9745 55 9885 55 10025 55 10165 55 10305 55 10445 55 10585 55 10725 55 10865 55 11005 55 11145 55 11285 55 11425 55 11565 55 11705 55 11845 55 11985 55 12125 55 12265 55 12405 55 12545 55 12685 55 12825 55 12965 55 13105 55 13245 55 13385 55 13525 55 13665 55 13805 55 13945 55 14085 55 14225 55 14365 55 14505 55 14645 55 14785 55 14925 55 15065 55 15205 55 15345 55 15485 55 15625 55 15765 55 15936 24 16076 24 16216 24 16356 24 16496 24 16636 24 16776 24 16916 24 17056 24 17196 24 17336 24 17476 24 17616 24 17756 24 17896 24 18036 24 18176 24 18316 24 18456 24 18596 24 18736 24 18876 24
0011165_44.jpg_GRAVEL,
0011165_44.jpg_SUGAR,
0011165_45.jpg_FISH,
0011165_45.jpg_FLOWER,
0011165_45.jpg_GRAVEL,
0011165_45.jpg_SUGAR,
